Experiment	Sweep	
Date	30.09.2022 15:44:59	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -138. xyz default, #2	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
91.7000E+0	-138.000E+0	53.4535E-9	5.45333E+3	91.7000E+0	64.2226E-9
91.7500E+0	-138.000E+0	53.4727E-9	5.09667E+3	91.7500E+0	64.2441E-9
91.8000E+0	-138.000E+0	53.4354E-9	5.18333E+3	91.8000E+0	64.2035E-9
91.8500E+0	-138.000E+0	53.2807E-9	5.48000E+3	91.8500E+0	64.0133E-9
91.9000E+0	-138.000E+0	53.3192E-9	4.66667E+3	91.9000E+0	64.0555E-9
91.9500E+0	-138.000E+0	53.4146E-9	5.68000E+3	91.9500E+0	64.1714E-9
92.0000E+0	-138.000E+0	53.3820E-9	5.39667E+3	92.0000E+0	64.1354E-9
92.0500E+0	-138.000E+0	53.4121E-9	5.34000E+3	92.0500E+0	64.1698E-9
92.1000E+0	-138.000E+0	53.3429E-9	5.63667E+3	92.1000E+0	64.0896E-9
92.1500E+0	-138.000E+0	53.2595E-9	5.24667E+3	92.1500E+0	63.9859E-9
92.2000E+0	-138.000E+0	53.3882E-9	5.12333E+3	92.2000E+0	64.1382E-9
92.2500E+0	-138.000E+0	53.4155E-9	5.88000E+3	92.2500E+0	64.1723E-9
92.3000E+0	-138.000E+0	53.3401E-9	6.07000E+3	92.3000E+0	64.0827E-9
92.3500E+0	-138.000E+0	53.9693E-9	6.09000E+3	92.3500E+0	64.8420E-9
92.4000E+0	-138.000E+0	54.3743E-9	6.10000E+3	92.4000E+0	65.3263E-9
92.4500E+0	-138.000E+0	54.3767E-9	5.79333E+3	92.4500E+0	65.3303E-9
92.5000E+0	-138.000E+0	54.4237E-9	6.28667E+3	92.5000E+0	65.3872E-9
92.5500E+0	-138.000E+0	54.4208E-9	6.51333E+3	92.5500E+0	65.3828E-9
92.6000E+0	-138.000E+0	54.3855E-9	5.74333E+3	92.6000E+0	65.3440E-9
92.6500E+0	-138.000E+0	54.3631E-9	6.58333E+3	92.6500E+0	65.3128E-9
92.7000E+0	-138.000E+0	54.3922E-9	6.39333E+3	92.7000E+0	65.3474E-9
92.7500E+0	-138.000E+0	54.3938E-9	6.60667E+3	92.7500E+0	65.3487E-9
92.8000E+0	-138.000E+0	54.4199E-9	6.46667E+3	92.8000E+0	65.3879E-9
92.8500E+0	-138.000E+0	54.3878E-9	6.41333E+3	92.8500E+0	65.3435E-9
92.9000E+0	-138.000E+0	54.3812E-9	6.95667E+3	92.9000E+0	65.3375E-9
92.9500E+0	-138.000E+0	54.5235E-9	6.76000E+3	92.9500E+0	65.5114E-9
93.0000E+0	-138.000E+0	54.4697E-9	7.47000E+3	93.0000E+0	65.4454E-9
93.0500E+0	-138.000E+0	54.3712E-9	7.63000E+3	93.0500E+0	65.3247E-9
93.1000E+0	-138.000E+0	54.2745E-9	6.70000E+3	93.1000E+0	65.2047E-9
93.1500E+0	-138.000E+0	54.4444E-9	7.50000E+3	93.1500E+0	65.4099E-9
93.2000E+0	-138.000E+0	54.4962E-9	7.30667E+3	93.2000E+0	65.4754E-9
93.2500E+0	-138.000E+0	54.3258E-9	7.87333E+3	93.2500E+0	65.2692E-9
93.3000E+0	-138.000E+0	54.3960E-9	6.86667E+3	93.3000E+0	65.3550E-9
93.3500E+0	-138.000E+0	54.5366E-9	7.91000E+3	93.3500E+0	65.5239E-9
93.4000E+0	-138.000E+0	54.3438E-9	9.28000E+3	93.4000E+0	65.2910E-9
93.4500E+0	-138.000E+0	54.3154E-9	8.16667E+3	93.4500E+0	65.2567E-9
93.5000E+0	-138.000E+0	54.3774E-9	7.86667E+3	93.5000E+0	65.3337E-9
93.5500E+0	-138.000E+0	54.4077E-9	7.90333E+3	93.5500E+0	65.3653E-9
93.6000E+0	-138.000E+0	54.4038E-9	9.02667E+3	93.6000E+0	65.3656E-9
93.6500E+0	-138.000E+0	54.4523E-9	8.62333E+3	93.6500E+0	65.4216E-9
93.7000E+0	-138.000E+0	54.3756E-9	9.28000E+3	93.7000E+0	65.3267E-9
93.7500E+0	-138.000E+0	54.3012E-9	9.15333E+3	93.7500E+0	65.2389E-9
93.8000E+0	-138.000E+0	54.3244E-9	9.86333E+3	93.8000E+0	65.2679E-9
93.8500E+0	-138.000E+0	54.3819E-9	9.63000E+3	93.8500E+0	65.3383E-9
93.9000E+0	-138.000E+0	54.3074E-9	9.46000E+3	93.9000E+0	65.2528E-9
93.9500E+0	-138.000E+0	54.4140E-9	10.9733E+3	93.9500E+0	65.3807E-9
94.0000E+0	-138.000E+0	54.3802E-9	10.2000E+3	94.0000E+0	65.3364E-9
94.0500E+0	-138.000E+0	54.3376E-9	10.2167E+3	94.0500E+0	65.2874E-9
94.1000E+0	-138.000E+0	54.3765E-9	10.1767E+3	94.1000E+0	65.3351E-9
94.1500E+0	-138.000E+0	54.4457E-9	10.5333E+3	94.1500E+0	65.4153E-9
94.2000E+0	-138.000E+0	54.3547E-9	12.3467E+3	94.2000E+0	65.3060E-9
94.2500E+0	-138.000E+0	54.3143E-9	11.2067E+3	94.2500E+0	65.2534E-9
94.3000E+0	-138.000E+0	54.2795E-9	11.3567E+3	94.3000E+0	65.2130E-9
94.3500E+0	-138.000E+0	54.2092E-9	11.0500E+3	94.3500E+0	65.1268E-9
94.4000E+0	-138.000E+0	54.1811E-9	12.8200E+3	94.4000E+0	65.0973E-9
94.4500E+0	-138.000E+0	54.3808E-9	12.0300E+3	94.4500E+0	65.3381E-9
94.5000E+0	-138.000E+0	54.2800E-9	12.1867E+3	94.5000E+0	65.2117E-9
94.5500E+0	-138.000E+0	54.2797E-9	11.1767E+3	94.5500E+0	65.2120E-9
94.6000E+0	-138.000E+0	54.1537E-9	12.9467E+3	94.6000E+0	65.0578E-9
94.6500E+0	-138.000E+0	54.1561E-9	11.4033E+3	94.6500E+0	65.0633E-9
94.7000E+0	-138.000E+0	54.2241E-9	14.1333E+3	94.7000E+0	65.1387E-9
94.7500E+0	-138.000E+0	54.3028E-9	13.1000E+3	94.7500E+0	65.2431E-9
94.8000E+0	-138.000E+0	54.2818E-9	13.2300E+3	94.8000E+0	65.2133E-9
94.8500E+0	-138.000E+0	54.2683E-9	14.1767E+3	94.8500E+0	65.1978E-9
94.9000E+0	-138.000E+0	54.2489E-9	14.1667E+3	94.9000E+0	65.1747E-9
94.9500E+0	-138.000E+0	54.2163E-9	14.2700E+3	94.9500E+0	65.1326E-9
95.0000E+0	-138.000E+0	54.2902E-9	15.8733E+3	95.0000E+0	65.2257E-9
95.0500E+0	-138.000E+0	54.3589E-9	15.0067E+3	95.0500E+0	65.3052E-9
95.1000E+0	-138.000E+0	54.2444E-9	14.3667E+3	95.1000E+0	65.1687E-9
95.1500E+0	-138.000E+0	54.3375E-9	14.5200E+3	95.1500E+0	65.2796E-9
95.2000E+0	-138.000E+0	54.3051E-9	15.4067E+3	95.2000E+0	65.2426E-9
95.2500E+0	-138.000E+0	54.3374E-9	16.7633E+3	95.2500E+0	65.2810E-9
95.3000E+0	-138.000E+0	54.2762E-9	18.6933E+3	95.3000E+0	65.2072E-9
95.3500E+0	-138.000E+0	54.2973E-9	15.4367E+3	95.3500E+0	65.2335E-9
95.4000E+0	-138.000E+0	54.2655E-9	16.8700E+3	95.4000E+0	65.1966E-9
95.4500E+0	-138.000E+0	54.2958E-9	16.3600E+3	95.4500E+0	65.2262E-9
95.5000E+0	-138.000E+0	54.2548E-9	18.4833E+3	95.5000E+0	65.1795E-9
95.5500E+0	-138.000E+0	54.3114E-9	17.6967E+3	95.5500E+0	65.2491E-9
95.6000E+0	-138.000E+0	54.3082E-9	18.1267E+3	95.6000E+0	65.2471E-9
95.6500E+0	-138.000E+0	54.1952E-9	19.0567E+3	95.6500E+0	65.1046E-9
95.7000E+0	-138.000E+0	54.3439E-9	18.2233E+3	95.7000E+0	65.2844E-9
95.7500E+0	-138.000E+0	54.1491E-9	19.1133E+3	95.7500E+0	65.0501E-9
95.8000E+0	-138.000E+0	54.2120E-9	19.1133E+3	95.8000E+0	65.1280E-9
95.8500E+0	-138.000E+0	54.3924E-9	20.2433E+3	95.8500E+0	65.3444E-9
95.9000E+0	-138.000E+0	54.2490E-9	20.7300E+3	95.9000E+0	65.1702E-9
95.9500E+0	-138.000E+0	54.2853E-9	21.5933E+3	95.9500E+0	65.2209E-9
96.0000E+0	-138.000E+0	54.2196E-9	21.8433E+3	96.0000E+0	65.1395E-9
96.0500E+0	-138.000E+0	54.2709E-9	19.8667E+3	96.0500E+0	65.2010E-9
96.1000E+0	-138.000E+0	54.2031E-9	21.4033E+3	96.1000E+0	65.1147E-9
96.1500E+0	-138.000E+0	54.2082E-9	22.4933E+3	96.1500E+0	65.1231E-9
96.2000E+0	-138.000E+0	54.3512E-9	22.2333E+3	96.2000E+0	65.2972E-9
96.2500E+0	-138.000E+0	54.1499E-9	23.2367E+3	96.2500E+0	65.0494E-9
96.3000E+0	-138.000E+0	54.1688E-9	21.2100E+3	96.3000E+0	65.0780E-9
96.3500E+0	-138.000E+0	54.1441E-9	20.8600E+3	96.3500E+0	65.0409E-9
96.4000E+0	-138.000E+0	54.1874E-9	24.4000E+3	96.4000E+0	65.0942E-9
96.4500E+0	-138.000E+0	54.3628E-9	25.0833E+3	96.4500E+0	65.3056E-9
96.5000E+0	-138.000E+0	54.1474E-9	23.8233E+3	96.5000E+0	65.0465E-9
96.5500E+0	-138.000E+0	54.1955E-9	23.8833E+3	96.5500E+0	65.1019E-9
96.6000E+0	-138.000E+0	54.2956E-9	24.7967E+3	96.6000E+0	65.2240E-9
96.6500E+0	-138.000E+0	54.1782E-9	24.4567E+3	96.6500E+0	65.0863E-9
96.7000E+0	-138.000E+0	54.1461E-9	25.4967E+3	96.7000E+0	65.0462E-9
