Experiment	Sweep	
Date	30.09.2022 14:45:33	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	FWD, plasmons, Vtip = -134. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
91.3000E+0	-134.000E+0	33.9419E-9	5.96000E+3	91.3000E+0	40.7072E-9
91.3500E+0	-134.000E+0	33.9211E-9	5.80000E+3	91.3500E+0	40.6787E-9
91.4000E+0	-134.000E+0	33.9623E-9	6.29667E+3	91.4000E+0	40.7298E-9
91.4500E+0	-134.000E+0	33.9511E-9	5.82667E+3	91.4500E+0	40.7159E-9
91.5000E+0	-134.000E+0	33.9630E-9	5.65000E+3	91.5000E+0	40.7283E-9
91.5500E+0	-134.000E+0	33.9395E-9	6.89333E+3	91.5500E+0	40.7034E-9
91.6000E+0	-134.000E+0	33.9524E-9	6.04000E+3	91.6000E+0	40.7166E-9
91.6500E+0	-134.000E+0	33.9849E-9	6.75000E+3	91.6500E+0	40.7545E-9
91.7000E+0	-134.000E+0	33.9873E-9	6.37333E+3	91.7000E+0	40.7585E-9
91.7500E+0	-134.000E+0	33.9441E-9	7.73333E+3	91.7500E+0	40.7081E-9
91.8000E+0	-134.000E+0	33.9334E-9	7.12333E+3	91.8000E+0	40.6934E-9
91.8500E+0	-134.000E+0	33.9616E-9	7.23333E+3	91.8500E+0	40.7289E-9
91.9000E+0	-134.000E+0	33.9692E-9	6.88667E+3	91.9000E+0	40.7367E-9
91.9500E+0	-134.000E+0	33.9866E-9	7.64000E+3	91.9500E+0	40.7575E-9
92.0000E+0	-134.000E+0	34.0070E-9	7.39667E+3	92.0000E+0	40.7867E-9
92.0500E+0	-134.000E+0	34.0008E-9	7.98667E+3	92.0500E+0	40.7759E-9
92.1000E+0	-134.000E+0	33.9956E-9	8.22667E+3	92.1000E+0	40.7682E-9
92.1500E+0	-134.000E+0	33.9697E-9	8.44333E+3	92.1500E+0	40.7423E-9
92.2000E+0	-134.000E+0	33.9920E-9	8.23667E+3	92.2000E+0	40.7635E-9
92.2500E+0	-134.000E+0	33.9987E-9	9.26000E+3	92.2500E+0	40.7717E-9
92.3000E+0	-134.000E+0	34.0102E-9	8.37333E+3	92.3000E+0	40.7854E-9
92.3500E+0	-134.000E+0	34.0092E-9	9.65000E+3	92.3500E+0	40.7822E-9
92.4000E+0	-134.000E+0	33.9987E-9	9.63000E+3	92.4000E+0	40.7679E-9
92.4500E+0	-134.000E+0	33.9574E-9	9.24667E+3	92.4500E+0	40.7210E-9
92.5000E+0	-134.000E+0	33.9482E-9	8.53667E+3	92.5000E+0	40.7083E-9
92.5500E+0	-134.000E+0	33.9686E-9	10.4800E+3	92.5500E+0	40.7366E-9
92.6000E+0	-134.000E+0	33.9200E-9	10.0033E+3	92.6000E+0	40.6807E-9
92.6500E+0	-134.000E+0	33.9238E-9	9.97333E+3	92.6500E+0	40.6842E-9
92.7000E+0	-134.000E+0	33.9241E-9	10.3600E+3	92.7000E+0	40.6891E-9
92.7500E+0	-134.000E+0	33.9016E-9	10.5900E+3	92.7500E+0	40.6638E-9
92.8000E+0	-134.000E+0	33.9287E-9	10.3267E+3	92.8000E+0	40.6939E-9
92.8500E+0	-134.000E+0	33.9409E-9	9.43000E+3	92.8500E+0	40.7054E-9
92.9000E+0	-134.000E+0	33.9413E-9	11.5267E+3	92.9000E+0	40.7068E-9
92.9500E+0	-134.000E+0	33.9275E-9	10.6367E+3	92.9500E+0	40.6893E-9
93.0000E+0	-134.000E+0	33.9185E-9	10.4467E+3	93.0000E+0	40.6756E-9
93.0500E+0	-134.000E+0	33.9298E-9	12.1400E+3	93.0500E+0	40.6923E-9
93.1000E+0	-134.000E+0	33.9157E-9	11.1567E+3	93.1000E+0	40.6759E-9
93.1500E+0	-134.000E+0	33.9033E-9	11.5433E+3	93.1500E+0	40.6639E-9
93.2000E+0	-134.000E+0	33.8974E-9	13.3433E+3	93.2000E+0	40.6553E-9
93.2500E+0	-134.000E+0	33.9208E-9	12.9467E+3	93.2500E+0	40.6849E-9
93.3000E+0	-134.000E+0	33.9377E-9	13.5133E+3	93.3000E+0	40.7034E-9
93.3500E+0	-134.000E+0	33.9309E-9	12.4233E+3	93.3500E+0	40.6921E-9
93.4000E+0	-134.000E+0	33.9432E-9	13.1400E+3	93.4000E+0	40.7127E-9
93.4500E+0	-134.000E+0	33.9221E-9	12.9767E+3	93.4500E+0	40.6838E-9
93.5000E+0	-134.000E+0	33.9110E-9	13.7500E+3	93.5000E+0	40.6689E-9
93.5500E+0	-134.000E+0	33.9188E-9	13.1833E+3	93.5500E+0	40.6775E-9
93.6000E+0	-134.000E+0	33.8885E-9	12.4067E+3	93.6000E+0	40.6447E-9
93.6500E+0	-134.000E+0	33.8946E-9	13.9867E+3	93.6500E+0	40.6518E-9
93.7000E+0	-134.000E+0	33.8679E-9	12.9867E+3	93.7000E+0	40.6197E-9
93.7500E+0	-134.000E+0	33.8138E-9	14.6467E+3	93.7500E+0	40.5556E-9
93.8000E+0	-134.000E+0	33.8801E-9	14.8533E+3	93.8000E+0	40.6371E-9
93.8500E+0	-134.000E+0	33.8991E-9	15.1767E+3	93.8500E+0	40.6593E-9
