Experiment	Sweep	
Date	30.09.2022 14:35:03	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	BWD, plasmons, Vtip = -132. xyz default	

[DATA]
BB Back Bias (V)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
123.550E+0	-132.000E+0	24.6432E-9	263.460E+3	123.550E+0	29.6239E-9
123.500E+0	-132.000E+0	24.6918E-9	277.930E+3	123.500E+0	29.6898E-9
123.450E+0	-132.000E+0	24.6853E-9	288.343E+3	123.450E+0	29.6753E-9
123.400E+0	-132.000E+0	24.5947E-9	293.830E+3	123.400E+0	29.5694E-9
123.350E+0	-132.000E+0	24.6705E-9	303.570E+3	123.350E+0	29.6596E-9
123.300E+0	-132.000E+0	24.8465E-9	307.447E+3	123.300E+0	29.8731E-9
123.250E+0	-132.000E+0	24.6628E-9	319.060E+3	123.250E+0	29.6522E-9
123.200E+0	-132.000E+0	24.7036E-9	319.990E+3	123.200E+0	29.7000E-9
123.150E+0	-132.000E+0	24.7091E-9	326.323E+3	123.150E+0	29.7029E-9
123.100E+0	-132.000E+0	24.7932E-9	324.743E+3	123.100E+0	29.8079E-9
123.050E+0	-132.000E+0	24.7706E-9	330.427E+3	123.050E+0	29.7796E-9
123.000E+0	-132.000E+0	24.7909E-9	326.417E+3	123.000E+0	29.7988E-9
122.950E+0	-132.000E+0	24.7889E-9	322.120E+3	122.950E+0	29.7994E-9
122.900E+0	-132.000E+0	24.8047E-9	320.410E+3	122.900E+0	29.8187E-9
122.850E+0	-132.000E+0	24.7927E-9	320.427E+3	122.850E+0	29.8056E-9
122.800E+0	-132.000E+0	24.7058E-9	317.020E+3	122.800E+0	29.7013E-9
122.750E+0	-132.000E+0	24.7848E-9	314.327E+3	122.750E+0	29.7937E-9
122.700E+0	-132.000E+0	24.6585E-9	312.990E+3	122.700E+0	29.6443E-9
122.650E+0	-132.000E+0	24.6339E-9	307.643E+3	122.650E+0	29.6186E-9
122.600E+0	-132.000E+0	24.6431E-9	296.830E+3	122.600E+0	29.6282E-9
122.550E+0	-132.000E+0	24.6364E-9	291.780E+3	122.550E+0	29.6211E-9
122.500E+0	-132.000E+0	24.7679E-9	280.513E+3	122.500E+0	29.7786E-9
122.450E+0	-132.000E+0	24.6505E-9	279.950E+3	122.450E+0	29.6359E-9
122.400E+0	-132.000E+0	24.6829E-9	270.313E+3	122.400E+0	29.6718E-9
122.350E+0	-132.000E+0	24.6932E-9	257.927E+3	122.350E+0	29.6886E-9
122.300E+0	-132.000E+0	24.7829E-9	251.360E+3	122.300E+0	29.7940E-9
122.250E+0	-132.000E+0	24.7594E-9	236.953E+3	122.250E+0	29.7622E-9
122.200E+0	-132.000E+0	24.6848E-9	233.987E+3	122.200E+0	29.6747E-9
122.150E+0	-132.000E+0	24.5803E-9	224.957E+3	122.150E+0	29.5464E-9
122.100E+0	-132.000E+0	24.5827E-9	215.777E+3	122.100E+0	29.5528E-9
122.050E+0	-132.000E+0	24.5953E-9	211.840E+3	122.050E+0	29.5679E-9
122.000E+0	-132.000E+0	24.5903E-9	196.603E+3	122.000E+0	29.5681E-9
121.950E+0	-132.000E+0	24.5651E-9	189.137E+3	121.950E+0	29.5347E-9
121.900E+0	-132.000E+0	24.6021E-9	182.153E+3	121.900E+0	29.5814E-9
121.850E+0	-132.000E+0	24.5768E-9	177.443E+3	121.850E+0	29.5499E-9
121.800E+0	-132.000E+0	24.5689E-9	169.247E+3	121.800E+0	29.5433E-9
121.750E+0	-132.000E+0	24.6706E-9	161.913E+3	121.750E+0	29.6592E-9
121.700E+0	-132.000E+0	24.7050E-9	152.020E+3	121.700E+0	29.7057E-9
121.650E+0	-132.000E+0	24.6010E-9	147.397E+3	121.650E+0	29.5776E-9
121.600E+0	-132.000E+0	24.6829E-9	135.557E+3	121.600E+0	29.6736E-9
121.550E+0	-132.000E+0	24.5781E-9	127.750E+3	121.550E+0	29.5501E-9
121.500E+0	-132.000E+0	24.7270E-9	123.133E+3	121.500E+0	29.7254E-9
121.450E+0	-132.000E+0	24.6948E-9	110.227E+3	121.450E+0	29.6889E-9
121.400E+0	-132.000E+0	24.5772E-9	102.233E+3	121.400E+0	29.5501E-9
121.350E+0	-132.000E+0	24.5994E-9	96.0767E+3	121.350E+0	29.5720E-9
121.300E+0	-132.000E+0	24.6631E-9	90.0167E+3	121.300E+0	29.6492E-9
121.250E+0	-132.000E+0	24.7711E-9	84.3700E+3	121.250E+0	29.7779E-9
121.200E+0	-132.000E+0	24.7891E-9	79.3067E+3	121.200E+0	29.7989E-9
121.150E+0	-132.000E+0	24.7918E-9	69.3200E+3	121.150E+0	29.8028E-9
121.100E+0	-132.000E+0	24.7250E-9	65.3667E+3	121.100E+0	29.7261E-9
121.050E+0	-132.000E+0	24.6477E-9	62.0733E+3	121.050E+0	29.6293E-9
121.000E+0	-132.000E+0	24.5617E-9	57.7000E+3	121.000E+0	29.5315E-9
120.950E+0	-132.000E+0	24.7639E-9	55.5167E+3	120.950E+0	29.7724E-9
120.900E+0	-132.000E+0	24.5786E-9	50.5167E+3	120.900E+0	29.5443E-9
