Experiment	Sweep	
Date	30.08.2022 14:26:10	
User		
X (m)	0.000000E+0	
Y (m)	0.000000E+0	
Comment01	Vtip=135, BWD, XYZ default	

[DATA]
BB Back Bias (V)	Timestamp (ms)	Bias (V)	Current (A)	BBX (Hz)	BB Back Bias (V)	Tip Current (A)
124.400E+0	6.77367E+6	-135.000E+0	9.20544E-9	795.000E+0	124.400E+0	9.93626E-9
124.300E+0	6.77408E+6	-135.000E+0	9.16994E-9	610.000E+0	124.300E+0	9.90233E-9
124.200E+0	6.77447E+6	-135.000E+0	9.19536E-9	630.000E+0	124.200E+0	9.92299E-9
124.100E+0	6.77489E+6	-135.000E+0	8.94117E-9	605.000E+0	124.100E+0	9.65187E-9
124.000E+0	6.77527E+6	-135.000E+0	9.09419E-9	645.000E+0	124.000E+0	9.81455E-9
123.900E+0	6.77568E+6	-135.000E+0	8.47576E-9	930.000E+0	123.900E+0	9.15927E-9
123.800E+0	6.77607E+6	-135.000E+0	8.55468E-9	665.000E+0	123.800E+0	9.24103E-9
123.700E+0	6.77646E+6	-135.000E+0	8.90931E-9	1.19000E+3	123.700E+0	9.61939E-9
123.600E+0	6.77687E+6	-135.000E+0	8.93025E-9	965.000E+0	123.600E+0	9.64213E-9
123.500E+0	6.77728E+6	-135.000E+0	8.60939E-9	455.000E+0	123.500E+0	9.29789E-9
123.400E+0	6.77768E+6	-135.000E+0	8.78568E-9	1.00000E+3	123.400E+0	9.48651E-9
123.300E+0	6.77808E+6	-135.000E+0	8.38374E-9	1.17000E+3	123.300E+0	9.05549E-9
123.200E+0	6.77847E+6	-135.000E+0	8.47398E-9	710.000E+0	123.200E+0	9.15199E-9
123.100E+0	6.77888E+6	-135.000E+0	8.81505E-9	870.000E+0	123.100E+0	9.52001E-9
123.000E+0	6.77928E+6	-135.000E+0	8.83683E-9	1.05500E+3	123.000E+0	9.54084E-9
122.900E+0	6.77968E+6	-135.000E+0	8.85686E-9	785.000E+0	122.900E+0	9.56400E-9
122.800E+0	6.78008E+6	-135.000E+0	8.86156E-9	960.000E+0	122.800E+0	9.56691E-9
122.700E+0	6.78050E+6	-135.000E+0	8.40517E-9	960.000E+0	122.700E+0	9.07790E-9
122.600E+0	6.78087E+6	-135.000E+0	8.80430E-9	985.000E+0	122.600E+0	9.50583E-9
122.500E+0	6.78130E+6	-135.000E+0	8.33036E-9	920.000E+0	122.500E+0	8.99949E-9
122.400E+0	6.78168E+6	-135.000E+0	8.41769E-9	865.000E+0	122.400E+0	9.09439E-9
122.300E+0	6.78208E+6	-135.000E+0	9.26257E-9	1.06500E+3	122.300E+0	9.99851E-9
122.200E+0	6.78248E+6	-135.000E+0	8.60815E-9	1.32500E+3	122.200E+0	9.30033E-9
122.100E+0	6.78289E+6	-135.000E+0	9.23686E-9	1.40500E+3	122.100E+0	9.97466E-9
122.000E+0	6.78328E+6	-135.000E+0	8.35718E-9	985.000E+0	122.000E+0	9.02891E-9
121.900E+0	6.78369E+6	-135.000E+0	8.79805E-9	785.000E+0	121.900E+0	9.49930E-9
121.800E+0	6.78407E+6	-135.000E+0	8.53600E-9	985.000E+0	121.800E+0	9.21773E-9
121.700E+0	6.78449E+6	-135.000E+0	8.57444E-9	705.000E+0	121.700E+0	9.25793E-9
121.600E+0	6.78488E+6	-135.000E+0	9.08629E-9	745.000E+0	121.600E+0	9.80481E-9
121.500E+0	6.78531E+6	-135.000E+0	9.16654E-9	1.25500E+3	121.500E+0	9.89255E-9
121.400E+0	6.78567E+6	-135.000E+0	8.86514E-9	1.26000E+3	121.400E+0	9.57162E-9
121.300E+0	6.78609E+6	-135.000E+0	8.81773E-9	1.26500E+3	121.300E+0	9.52041E-9
121.200E+0	6.78649E+6	-135.000E+0	9.02455E-9	1.49000E+3	121.200E+0	9.74519E-9
121.100E+0	6.78689E+6	-135.000E+0	8.69993E-9	1.40000E+3	121.100E+0	9.39203E-9
121.000E+0	6.78727E+6	-135.000E+0	8.42054E-9	1.59500E+3	121.000E+0	9.09355E-9
120.900E+0	6.78769E+6	-135.000E+0	9.54500E-9	1.60000E+3	120.900E+0	10.3028E-9
120.800E+0	6.78808E+6	-135.000E+0	9.12494E-9	1.67000E+3	120.800E+0	9.85425E-9
120.700E+0	6.78849E+6	-135.000E+0	9.69678E-9	1.97000E+3	120.700E+0	10.4661E-9
120.600E+0	6.78888E+6	-135.000E+0	8.84193E-9	1.61500E+3	120.600E+0	9.54781E-9
120.500E+0	6.78929E+6	-135.000E+0	8.52398E-9	1.52000E+3	120.500E+0	9.20961E-9
120.400E+0	6.78968E+6	-135.000E+0	8.65718E-9	1.73500E+3	120.400E+0	9.34645E-9
120.300E+0	6.79007E+6	-135.000E+0	8.86836E-9	1.06000E+3	120.300E+0	9.57266E-9
120.200E+0	6.79049E+6	-135.000E+0	8.73036E-9	1.40000E+3	120.200E+0	9.42692E-9
120.100E+0	6.79087E+6	-135.000E+0	9.36842E-9	1.55500E+3	120.100E+0	10.1130E-9
120.000E+0	6.79128E+6	-135.000E+0	8.87100E-9	1.46500E+3	120.000E+0	9.57857E-9
119.900E+0	6.79171E+6	-135.000E+0	8.86909E-9	1.23000E+3	119.900E+0	9.57663E-9
119.800E+0	6.79208E+6	-135.000E+0	8.51354E-9	1.53500E+3	119.800E+0	9.19451E-9
119.700E+0	6.79250E+6	-135.000E+0	8.36087E-9	1.39500E+3	119.700E+0	9.03152E-9
119.600E+0	6.79290E+6	-135.000E+0	8.81209E-9	1.36000E+3	119.600E+0	9.51345E-9
119.500E+0	6.79330E+6	-135.000E+0	8.64381E-9	1.63500E+3	119.500E+0	9.33349E-9
119.400E+0	6.79368E+6	-135.000E+0	8.63910E-9	1.72500E+3	119.400E+0	9.32929E-9
119.300E+0	6.79409E+6	-135.000E+0	8.53896E-9	1.79500E+3	119.300E+0	9.22139E-9
119.200E+0	6.79450E+6	-135.000E+0	8.59583E-9	1.48000E+3	119.200E+0	9.28151E-9
119.100E+0	6.79490E+6	-135.000E+0	8.47807E-9	2.26500E+3	119.100E+0	9.15478E-9
119.000E+0	6.79530E+6	-135.000E+0	8.37079E-9	1.54000E+3	119.000E+0	9.04211E-9
118.900E+0	6.79567E+6	-135.000E+0	8.82559E-9	1.80500E+3	118.900E+0	9.52890E-9
118.800E+0	6.79608E+6	-135.000E+0	8.60804E-9	1.74000E+3	118.800E+0	9.29610E-9
118.700E+0	6.79651E+6	-135.000E+0	8.57160E-9	1.92500E+3	118.700E+0	9.25697E-9
118.600E+0	6.79688E+6	-135.000E+0	8.40040E-9	2.00000E+3	118.600E+0	9.07616E-9
118.500E+0	6.79730E+6	-135.000E+0	8.43381E-9	1.84000E+3	118.500E+0	9.10934E-9
118.400E+0	6.79768E+6	-135.000E+0	8.80541E-9	1.61000E+3	118.400E+0	9.50879E-9
118.300E+0	6.79807E+6	-135.000E+0	8.65601E-9	2.11500E+3	118.300E+0	9.34602E-9
118.200E+0	6.79849E+6	-135.000E+0	8.43049E-9	2.07500E+3	118.200E+0	9.10389E-9
118.100E+0	6.79892E+6	-135.000E+0	8.74240E-9	3.04000E+3	118.100E+0	9.43863E-9
118.000E+0	6.79931E+6	-135.000E+0	8.80097E-9	2.06000E+3	118.000E+0	9.50334E-9
117.900E+0	6.79971E+6	-135.000E+0	9.47279E-9	2.02500E+3	117.900E+0	10.2270E-9
117.800E+0	6.80008E+6	-135.000E+0	9.18141E-9	2.29500E+3	117.800E+0	9.91381E-9
117.700E+0	6.80052E+6	-135.000E+0	8.39529E-9	2.07000E+3	117.700E+0	9.06738E-9
117.600E+0	6.80088E+6	-135.000E+0	8.70941E-9	1.96000E+3	117.600E+0	9.40310E-9
117.500E+0	6.80130E+6	-135.000E+0	8.87031E-9	2.93000E+3	117.500E+0	9.58314E-9
117.400E+0	6.80172E+6	-135.000E+0	8.65924E-9	2.47000E+3	117.400E+0	9.35294E-9
117.300E+0	6.80211E+6	-135.000E+0	8.82687E-9	2.42000E+3	117.300E+0	9.53088E-9
117.200E+0	6.80249E+6	-135.000E+0	8.38742E-9	1.94000E+3	117.200E+0	9.05876E-9
117.100E+0	6.80291E+6	-135.000E+0	9.67465E-9	2.71000E+3	117.100E+0	10.4450E-9
117.000E+0	6.80331E+6	-135.000E+0	9.64902E-9	2.61000E+3	117.000E+0	10.4180E-9
116.900E+0	6.80370E+6	-135.000E+0	8.75935E-9	2.27500E+3	116.900E+0	9.45806E-9
116.800E+0	6.80412E+6	-135.000E+0	8.37527E-9	2.49000E+3	116.800E+0	9.04776E-9
116.700E+0	6.80450E+6	-135.000E+0	9.03157E-9	2.97500E+3	116.700E+0	9.75212E-9
116.600E+0	6.80489E+6	-135.000E+0	8.74988E-9	2.57000E+3	116.600E+0	9.45016E-9
116.500E+0	6.80528E+6	-135.000E+0	8.88055E-9	2.67500E+3	116.500E+0	9.58793E-9
116.400E+0	6.80569E+6	-135.000E+0	8.30905E-9	2.73500E+3	116.400E+0	8.97661E-9
116.300E+0	6.80611E+6	-135.000E+0	9.21675E-9	3.46500E+3	116.300E+0	9.95455E-9
116.200E+0	6.80649E+6	-135.000E+0	8.58995E-9	2.43000E+3	116.200E+0	9.27667E-9
116.100E+0	6.80690E+6	-135.000E+0	9.33074E-9	3.19000E+3	116.100E+0	10.0748E-9
116.000E+0	6.80729E+6	-135.000E+0	8.65202E-9	2.76000E+3	116.000E+0	9.34272E-9
115.900E+0	6.80770E+6	-135.000E+0	8.62303E-9	3.05500E+3	115.900E+0	9.31347E-9
115.800E+0	6.80811E+6	-135.000E+0	8.55840E-9	2.51500E+3	115.800E+0	9.24211E-9
