Experiment	Z spectroscopy	
Date	02.05.2018 17:07:33	
User		
X (m)	639.704E-9	
Y (m)	362.349E-9	
Z (m)	-59.122E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-50E-9	
Settling time (s)	250E-6	
Integration time (s)	1E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	Clam 38 eV	

[DATA]
Z rel (m)	Current (A)	Tip Current (A)	Pressure Lisa (V)	Channeltron (Hz)	CLAM  2 (Hz)	Bias (V)	Z (m)	Current [bwd] (A)	Tip Current [bwd] (A)	Pressure Lisa [bwd] (V)	Channeltron [bwd] (Hz)	CLAM  2 [bwd] (Hz)	Bias [bwd] (V)	Z [bwd] (m)
3.40681E-9	-211.244E-9	208.329E-9	3.31429E+0	47.3000E+3	4.70000E+3	-115.000E+0	-55.7152E-9	-226.033E-9	224.827E-9	3.31165E+0	48.1000E+3	5.60000E+3	-115.000E+0	-55.7152E-9
3.50701E-9	-211.228E-9	209.250E-9	3.31414E+0	45.3000E+3	4.60000E+3	-115.000E+0	-55.6150E-9	-225.510E-9	224.076E-9	3.31210E+0	49.6000E+3	4.10000E+3	-115.000E+0	-55.6150E-9
3.60721E-9	-211.217E-9	208.184E-9	3.31383E+0	50.0000E+3	3.70000E+3	-115.000E+0	-55.5148E-9	-224.954E-9	223.945E-9	3.31242E+0	46.3000E+3	4.60000E+3	-115.000E+0	-55.5148E-9
3.70741E-9	-210.711E-9	209.532E-9	3.31363E+0	46.3000E+3	4.90000E+3	-115.000E+0	-55.4146E-9	-224.686E-9	222.413E-9	3.31267E+0	50.1000E+3	3.50000E+3	-115.000E+0	-55.4146E-9
3.80762E-9	-210.351E-9	208.962E-9	3.31347E+0	44.2000E+3	5.00000E+3	-115.000E+0	-55.3144E-9	-224.146E-9	221.806E-9	3.31308E+0	49.6000E+3	5.00000E+3	-115.000E+0	-55.3144E-9
3.90782E-9	-209.900E-9	208.194E-9	3.31348E+0	47.6000E+3	4.60000E+3	-115.000E+0	-55.2142E-9	-223.851E-9	221.119E-9	3.31288E+0	47.8000E+3	4.40000E+3	-115.000E+0	-55.2142E-9
4.00802E-9	-209.512E-9	208.403E-9	3.31359E+0	48.3000E+3	5.50000E+3	-115.000E+0	-55.1140E-9	-223.625E-9	222.426E-9	3.31275E+0	49.0000E+3	3.20000E+3	-115.000E+0	-55.1140E-9
4.10822E-9	-209.064E-9	206.487E-9	3.31412E+0	49.0000E+3	4.50000E+3	-115.000E+0	-55.0138E-9	-222.713E-9	220.229E-9	3.31269E+0	48.3000E+3	6.10000E+3	-115.000E+0	-55.0138E-9
4.20842E-9	-208.358E-9	206.620E-9	3.31416E+0	47.9000E+3	3.70000E+3	-115.000E+0	-54.9136E-9	-223.741E-9	220.744E-9	3.31225E+0	45.8000E+3	4.40000E+3	-115.000E+0	-54.9136E-9
4.30862E-9	-208.231E-9	206.790E-9	3.31448E+0	44.4000E+3	3.00000E+3	-115.000E+0	-54.8134E-9	-223.229E-9	222.004E-9	3.31207E+0	50.2000E+3	3.20000E+3	-115.000E+0	-54.8134E-9
4.40882E-9	-207.215E-9	204.443E-9	3.31475E+0	46.2000E+3	4.80000E+3	-115.000E+0	-54.7132E-9	-222.888E-9	221.560E-9	3.31181E+0	47.0000E+3	5.10000E+3	-115.000E+0	-54.7132E-9
4.50902E-9	-205.670E-9	203.719E-9	3.31477E+0	45.1000E+3	5.40000E+3	-115.000E+0	-54.6130E-9	-221.977E-9	221.247E-9	3.31196E+0	43.8000E+3	5.20000E+3	-115.000E+0	-54.6130E-9
4.60922E-9	-204.854E-9	202.840E-9	3.31479E+0	46.8000E+3	4.20000E+3	-115.000E+0	-54.5128E-9	-221.302E-9	218.670E-9	3.31206E+0	55.6000E+3	4.00000E+3	-115.000E+0	-54.5128E-9
4.70942E-9	-204.119E-9	202.324E-9	3.31468E+0	48.6000E+3	6.00000E+3	-115.000E+0	-54.4126E-9	-221.240E-9	218.485E-9	3.31230E+0	53.8000E+3	5.60000E+3	-115.000E+0	-54.4126E-9
4.80962E-9	-203.568E-9	202.484E-9	3.31415E+0	45.4000E+3	4.90000E+3	-115.000E+0	-54.3124E-9	-220.988E-9	219.208E-9	3.31243E+0	50.8000E+3	4.80000E+3	-115.000E+0	-54.3124E-9
4.90982E-9	-202.484E-9	199.910E-9	3.31398E+0	47.9000E+3	4.10000E+3	-115.000E+0	-54.2122E-9	-219.391E-9	217.588E-9	3.31259E+0	48.3000E+3	4.00000E+3	-115.000E+0	-54.2122E-9
